"","Time","Dedr","Age","Brt","Value","Claims"
"104",0.96,386700,3.71,9.3,15.17,0
"105",1.25,513819,3.22,10.02,15.86,0
"106",1.15,386700,3.22,10.02,15.86,0
"114",0.81,80643,1.61,11.95,17.54,0
"123",1,119352,2.83,8.76,16.55,0
"124",1,119352,3,8.82,16.17,0
"125",1,119352,2.94,8.67,16.42,0
"126",1,119352,2.89,8.76,16.55,0
"127",1,119352,2.83,8.76,16.55,1
"128",1,119352,2.77,8.93,16.65,1
"182",1,119352,2.89,8.76,16.55,0
"183",1,119352,3.04,8.82,16.17,0
"184",1,119352,3,8.67,16.42,0
"185",1,119352,2.94,8.76,16.55,0
"186",1,119352,2.89,8.76,16.55,1
"187",1,119352,2.83,8.93,16.65,1
"213",1,64515,3,10.72,17.33,0
"235",0.17,25806,3.14,8.29,15.32,0
"236",0.15,25806,3.14,8.29,15.32,0
"237",0.17,25806,3.14,8.29,15.32,0
